"MASTER","ENTIDAD","PRECIO","TIPOLOGIA","METODOLOGIA","DURACION","BOLSAEMP","TELEFONO","X4","X6","URLIMAGEN","NOMBREIMAGEN","WEB",
"Máster online de Humanización en Salud","UNIVERSIDAD EUROPEA","7098.0","Master","Semipresencial","Villaviciosa de odon","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","['Módulo 1. CONCEPTOS Y MARCO GENERAL', 'Módulo 2. HERRAMIENTAS PARA LA COMUNICACIÓN Y LA RELACIÓN', 'Módulo 3. GESTIÓN DE ORGANIZACIÓNES BASADAS EN LA HUMANIZACIÓN', 'Módulo 4. HUMANIZACIÓN APLICADA A DISTINTAS REALIDADES', 'Módulo 5. TRABAJO FIN DE MÁSTER']","https://www.emagister.com/assets/es/logos/centro/id/1118307/size/l.jpg","['l.jpg']","https://www.emagister.com/master-online-humanizacion-salud-cursos-3553714.htm",
"Técnico en Salud Mental (10 créditos ECTS)","ISPEDUC - Instituto Superior de Psicología y Educación","190.0","Postgrado","Online","250h","Sí","Sin Datos","Si quieres dar un empujon a tu futuro profesional y te gustaria especializarte en salud mental  Emagister te presenta este Tecnico en Salud Mental impartido por el prestigioso centro ISPEDUC     Con el Tecnico en Salud Mental conoceras todas las claves y fundamentos de la psicologia relacionada con la salud mental y la personalidad     De esta manera  podras profundizar en los principales trastornos que afectan a la salud mental del individuo sabiendo como intervenir en cada caso      No dejes escapar esta oportunidad y amplia tu futuro profesional con ISPEDUC","[]","https://www.emagister.com/assets/es/logos/centro/id/1117638/size/l.jpg","['l.jpg']","https://www.emagister.com/tecnico-salud-mental-10-creditos-ects-cursos-3548099.htm",
"Máster en psicología clínica y de la salud","ISPEDUC - Instituto Superior de Psicología y Educación","690.0","Master","Online","1500h","Sí","Sin Datos","En su amplio catalogo de capacitaciones  Emagister tiene para ti el Master en neuropsicologia infantil  que imparte ISPEDUC   Instituto Superior de Psicologia y Educacion  con una duracion de dieciocho meses  desde su Campus online  donde cuentas con un servicio de consultas y un tutor personal  que te acompa a durante toda tu etapa de estudio    A traves de esta formacion  conoces los fundamentos en psicologia clinica y de salud  los procesos psicologicos basicos  y la exigencia emocional del trabajo psicologico  Aprendes tambien sobre las bases de la modificacion de conducta  el papel de la inteligencia emocional  las claves de la educacion para la salud y la importancia de la teoria del vinculo  Tambien te capacita en lo que tiene que ver con la terapia familiar en psicologia clinica y de la salud  tomando como referencia el sistema familiar como marco de desarrollo  y abarcando asuntos como la intervencion en violencia de genero  la terapia familiar sistematica y  la mediacion familiar y escolar  En otro ambito  el de la modalidad del master  se realiza en modo online  para que puedas capacitarte desde donde estes    Comienza hoy mismo tu capacitacion  ingresando a traves de un clic en el boton  Matriculate ahora  que se encuentra aqui  en esta misma pagina de Emagister","['TEMARIO:ÁREA 1. FUNDAMENTOS EN PSICOLOGÍA CLÍNICA Y DE LA SALUD.', 'ÁREA 2. TRANSVERSALES VITALES EN PSICOLOGÍA CLÍNICA Y DE LA SALUD.', 'ÁREA 3. TERAPIA FAMILIAR EN PSICOLOGÍA CLÍNICA Y DE LA SALUD.', 'ÁREA 4. EVALUACIÓN Y PRÁCTICA CLÍNICA I.', 'ÁREA 5. EVALUACIÓN Y PRÁCTICA CLÍNICA II.', 'CASOS PRÁCTICOS']","https://www.emagister.com/assets/es/logos/centro/id/1117638/size/l.jpg","['l.jpg']","https://www.emagister.com/master-psicologia-clinica-salud-cursos-3548010.htm",
"MÁSTER EN PSICOLOGÍA CLÍNICA Y DE LA SALUD (80 créditos ECTS)","ITEAP Centro de Posgrado Universitario","590.0","Master","Online","1000h","Sin Datos","Sin Datos","Te gustaria dirigir tu futuro profesional hacia el ambito de la psicologia  Ahora lo tienes muy facil  ya que Iteap Centro de Posgrado Universitario a traves de emagister te ofrece la posibilidad de realizar el Master en Psicologia Clinica y de la Salud     Esta formacion te permitira ampliar tus competencias en el campo de la psicologia y adquirir nuevas habilidades en el diagnostico y la intervencion clinica de trastornos  ademas de adquirir tecnicas para la intervencion terapeutica    Este master presenta un dise o y desarrollo programatico unico  de maxima especializacion y nivel cientifico  que se basa en el rigor y la racionalidad economica para promocionar y difundir la disciplina psicomotriz en todos los profesionales interesados en la tematica    Emagister com pone a tu disposicion este master que cursaras de manera online y a lo largo de 1 a o  Formate como psicologo clinico  gracias a esta nueva formacion que acabamos de a adir a nuestro catalogo formativo","['Contenidos:BLOQUE 1. FUNDAMENTOS EN PSICOLOGÍA CLÍNICA Y DE LA SALUD I.', 'BLOQUE 2. FUNDAMENTOS EN PSICOLOGÍA CLÍNICA Y DE LA SALUD II. ', 'BLOQUE 3. TERAPIA FAMILIAR EN PSICOLOGÍA CLÍNICA Y DE LA SALUD. ', 'BLOQUE 4. EVALUACIÓN E INTERVENCIÓN EN PSICOLOGÍA CLÍNICA Y DE LA SALUD I.', 'BLOQUE 5. EVALUACIÓN E INTERVENCIÓN EN PSICOLOGÍA CLÍNICA Y DE LA SALUD II.']","https://www.emagister.com/assets/es/logos/centro/id/9688/size/l.jpeg","['l.jpeg']","https://www.emagister.com/master-psicologia-clinica-salud-80-creditos-ects-cursos-3006685.htm",
"MÁSTER EN SALUD MENTAL EN EL ANCIANO - ONLINE","DNSalud","350.0","Master","Online","400h","Sí","Sin Datos","Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/1139924/size/l.jpg","['l.jpg']","https://www.emagister.com/master-salud-mental-anciano-online-cursos-3469986.htm",
"Máster Universitario en Dirección y Gestión de Unidades de Enfermería","UNIR, la Universidad en Internet","Precio a consultar","Master oficial","Online","Sin Datos","Sin Datos",941944081,"Bonificacion FUNDAE   Te gustaria dirigir tu futuro profesional hacia la gestion y direccion de centros sanitarios  Ahora Emagister te ofrece esta posibilidad  Te presentamos el Master Universitario en Direccion y Gestion de Unidades de Enfermeria impartido por UNIR    El papel de enfermeria en la atencion a los problemas de salud de la poblacion  se ha visto reforzado  aun mas  en los ultimos a os por la toma de conciencia por los Sistemas de Salud de los paises desarrollados de toda la problematica asociada a la cronicidad    Los cambios en los enfoques organizativos  en los procedimientos y la preocupacion por la sostenibilidad de los sistemas sanitarios como el de nuestro pais  han puesto de relieve la necesidad de que la enfermeria asuma nuevos roles y responsabilidades  recayendo en los mandos intermedios liderar estos procesos de renovacion    Si te interesa obtener mas informacion  ponte en contacto con nosotros a traves de emagister com y recibiras el dossier informativo sin compromiso alguno","[]","https://www.emagister.com/assets/es/logos/centro/id/173258/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-direccion-gestion-unidades-enfermeria-cursos-3264096.htm",
"Máster universitario en dirección y gestión de enfermería","Universidad Internacional de Valencia (VIU)","Precio a consultar","Master","Online","Sin Datos","Sin Datos",960969178,"El contexto actual de los sistemas de salud precisa de nuevos directivos y gestores  Los expertos coinciden en que la gestion clinica es fundamental para garantizar la continuidad de nuestro sistema sanitario   El objetivo del Master Oficial Online de Direccion y Gestion de Enfermeria es la adquisicion de una formacion avanzada y especializada en liderazgo  gestion y direccion de enfermeria  ya sea en relacion con organismos privados o con la administracion sanitaria publica  Ademas  dota al estudiante de formacion en la ejecucion y direccion de investigaciones dentro de Unidades de Investigacion Enfermeras  La investigacion en esta rama es necesaria para asegurar el avance general de la profesion y la mejora en la calidad de la atencion a los pacientes   Elige seguir con tu formacion en la Universidad Internacional de Valencia  la 1  Universidad Online en Ciencias de la salud      Ministerio de Educacion y FP  Informe Masteres Universidades privadas online 2020","['Plan de estudios:']","https://www.emagister.com/assets/es/logos/centro/id/124268/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-direccion-gestion-enfermeria-cursos-3676326.htm",
"Máster en atención de enfermería en urgencias y emergencias","UNIVERSIDAD SAN JORGE Online","Precio a consultar","Master","Online","1500h","Sin Datos",876871851,"Emagister com pone a tu disposicion el Master en Atencion de Enfermeria en Urgencias y Emergencias  que esta orientado hacia el profesional de Enfermeria que desee adquirir un conocimiento especifico y avanzado en el area de Urgencias y Emergencias y que en definitiva le permita desenvolverse de una manera segura en este ambito  En el Master se perfecciona tanto la funcion asistencial  como  la gestora  ayudando asi al alumno en su consecucion de un desarrollo especifico en cuanto a competencias  habilidades  actitudes y aptitudes    En cuanto a lo puramente asistencial se trata de refrescar conocimientos y de poner a disposicion del alumno todos aquellos protocolos  procesos y procedimientos clinicos que basados en la evidencia han mostrado ser los mas adecuados por su eficacia y para la seguridad del paciente gravemente enfermo     Y esto tratando de imbuir a cada alumno la necesidad de la reflexion critica ante cada accion que pueda acometer  tratando siempre de prestar una atencion integral a la persona en cualquier estadio de la vida y con criterios de rapidez  eficiencia y calidad  Se trata de utilizar los conceptos teoricos y el conocimiento como base para la toma de decisiones en la practica de la enfermeria de urgencias y emergencias     Aprovecha la oportunidad  El futuro te esta esperando  Si te interesa conocer mas sobre este curso  te invitamos a ponerte en contacto con nosotros a traves de emagister com","['Gestión de los servicios de urgencias y emergencias ', 'Intervención de enfermería en la urgencia y emergencia ', 'Atención psicosocial en situaciones de urgencia y emergencia ', 'Atención de enfermería en situaciones de urgencia cardiorespiratoria ', 'Atención de enfermería en otras situaciones de urgencia ', 'Cuidados de enfermería en el paciente crítico ', 'Procedimiento de enfermería en el paciente crítico ', 'Atención a múltiples víctimas y catástrofes ', 'Atención al politraumatizado y víctima del accidente de tráfico ', 'Metodología de investigación en ciencias de la salud ', 'Algoritmos, análisis clínicos y técnicas más frecuentes en enfermería de urgencias']","https://www.emagister.com/assets/es/logos/centro/id/193808/size/l.jpg","['l.jpg']","https://www.emagister.com/master-atencion-enfermeria-urgencias-emergencias-cursos-3339088.htm",
"Máster en farmacología clínica para enfermería","ESCUELA INTERNACIONAL DE FARMACIA PASTEUR","480.0","Master","A distancia","600h","Sin Datos",973975855,"Documentos","[]","https://www.emagister.com/assets/es/logos/centro/id/1140014/size/l.jpg","['l.jpg']","https://www.emagister.com/master-farmacologia-clinica-para-enfermeria-cursos-3521235.htm",
"Máster de formación permanente en enfermería en el quirófano","ENALDE BUSINESS SCHOOL","1970.0","Master","Online","12 Meses","Sin Datos",958050217,"Plantea tus dudas y otros usuarios podran responderte","['Módulo 1. Aspectos generales del bloque quirúrgico para enfermería', '', 'Módulo 2. Actuaciones y procedimientos de enfermería en quirófano', '', 'Módulo 3. Cuidados enfermeros en la analgesia y la sedación ', '', 'Módulo 4. Procedimientos quirúrgicos urgentes en pediatría', '', 'Módulo 5. Cirugía menor ambulatoria', '', 'Módulo 6. Prevención de riesgos laborales en quirófano', '', 'Módulo 7. Proyecto fin de Máster de formación permanente']","https://www.emagister.com/assets/es/logos/centro/id/1168609/size/l.jpg","['l.jpg']","https://www.emagister.com/master-formacion-permanente-enfermeria-quirofano-cursos-3735598.htm",
"Máster Universitario online en Dirección y Gestión en Enfermería","UNIVERSIDAD EUROPEA","Precio a consultar","Master oficial","Online","12 Meses","Sí",912669065,"Emagister com te presenta el Master Universitario online en Direccion y Gestion en Enfermeria  una formacion de modalidad de estudio online  dise ada e impartida por el centro UEM Postgrados  Con la realizacion de este completo curso te capacitaras en todo lo necesario para desarrollarte como profesional de enfermeria en labores direccion  Durante el curso trabajaras aspectos orientados a la direccion  organizacion  compra y contratacion de servicios de salud    En suma  obtendras nociones en dise o y uso de sistemas de informacion  asi como aprender a llevar una optima gestion de recursos materiales y humanos afines al area de enfermeria en cualquier centro sanitario    Es el unico master oficial avalado por la Asociacion Nacional de Directivos de Enfermeria  ANDE     No debes dejar pasar esta excelente oportunidad  recuerda que es importante que logres una cualificacion que te permita incrustarte de manera inmediata al mercado laboral  da clic al boton de informacion para que la Universidad Europea se ponga en contacto contigo  resuelvan todas tus dudas e inicies tu formacion de manera inmediata","[]","https://www.emagister.com/assets/es/logos/centro/id/1118307/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-online-direccion-gestion-enfermeria-cursos-3547739.htm",
"Master en Enfermería Psiquiátrica y Salud Mental + Titulación Universitaria","Euroinnova Business School","1299.0","Master","Online","750h","Sin Datos",958912561,"Nuestra metodologia online ha ayudado a muchos alumnos a tener su titulacion en Master en Enfermeria Psiquiatrica y Salud Mental   Titulacion Universitaria comodamente desde su casa  alcanzando el objetivo de tener su Master Propio Online en Psicoterapia  Nuestros cursos y master estan contrastados por las opiniones de nuestros alumnos  Consulta el resto de cursos de Psicoterapia para tener una vision de todo lo que Euroinnova puede ofrecerte Este Master Propio Online va dirigido a aquellos profesionales con o sin experiencia previa en Master en Enfermeria Psiquiatrica y Salud Mental   Titulacion Universitaria pero que quieran tener su titulacion","[]","https://www.emagister.com/assets/es/logos/centro/id/56241/size/l.jpg","['l.jpg']","https://www.emagister.com/master-enfermeria-psiquiatrica-salud-mental-titulacion-universitaria-cursos-3657787.htm",
"Máster en atención de enfermería en urgencias y emergencias","UNIVERSIDAD SAN JORGE Online","Precio a consultar","Master","A distancia","1500h","Sin Datos",876871851,"Plantea tus dudas y otros usuarios podran responderte","['Gestión de los servicios de urgencias y emergencias ', 'Intervención de enfermería en la urgencia y emergencia ', 'Atención psicosocial en situaciones de urgencia y emergencia ', 'Atención de enfermería en situaciones de urgencia cardiorespiratoria ', 'Atención de enfermería en otras situaciones de urgencia ', 'Cuidados de enfermería en el paciente crítico ', 'Procedimiento de enfermería en el paciente crítico ', 'Atención a múltiples víctimas y catástrofes ', 'Atención al politraumatizado y víctima del accidente de tráfico ', 'Metodología de investigación en ciencias de la salud ', 'Algoritmos, análisis clínicos y técnicas más frecuentes en enfermería de urgencias']","https://www.emagister.com/assets/es/logos/centro/id/193808/size/l.jpg","['l.jpg']","https://www.emagister.com/master-atencion-enfermeria-urgencias-emergencias-cursos-3605677.htm",
"Experto Universitario en triaje para Enfermería de la SEMES","Editorial Médica Panamericana","1150.0","Experto universitario","Online","Sin Datos","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","['Experto Universitario en Triaje para Enfermería', 'Módulo 1. Aspectos fundamentales en triaje', 'Módulo 2. Sistemas del triaje', 'Módulo 3. Aplicación del triaje', 'Módulo 4. Clínica aplicada al triaje', 'Módulo 5. Criterios de calidad en triaje']","https://www.emagister.com/assets/es/logos/centro/id/94945/size/l.jpg","['l.jpg']","https://www.emagister.com/experto-universitario-triaje-para-enfermeria-semes-cursos-3497813.htm",
"Máster de formación permanente en urgencias y emergencias en enfermería","ENALDE BUSINESS SCHOOL","1970.0","Master","Online","12 Meses","Sin Datos",958050217,"Plantea tus dudas y otros usuarios podran responderte","['Módulo 1. Aspectos generales de las urgencias y emergencias valoración inicial del paciente', 'Módulo 2. Reanimación cardiopulmonar en el adulto soporte vital básico y avanzado', 'Módulo 3. Atención de enfermería al paciente traumatizado', 'Módulo 4. Urgencias cardiovasculares para enfermería', 'Módulo 5. Actuaciones de enfermería en urgencias pediátricas', 'Módulo 6. Otras urgencias', 'Módulo 7. Actuación ante catástrofes y múltiples víctimas', 'Módulo 8. Proyecto fin de máster']","https://www.emagister.com/assets/es/logos/centro/id/1168609/size/l.jpg","['l.jpg']","https://www.emagister.com/master-formacion-permanente-urgencias-emergencias-enfermeria-cursos-3735599.htm",
"MÁSTER EN AUXILIAR DE ENFERMERÍA EN UCI, URGENCIAS, DIÁLISIS Y OTROS SERVICIOS ESPECIALES","Centro de Estudios de Psicología","420.0","Master","Online","Sin Datos","Sin Datos",973975855,"Documentos","[]","https://www.emagister.com/assets/es/logos/centro/id/1147731/size/l.jpg","['l.jpg']","https://www.emagister.com/master-auxiliar-enfermeria-uci-urgencias-dialisis-otros-servicios-especiales-cursos-3640964.htm",
"Master en Especialización en Unidades de Enfermería + Titulación Universitaria","Euroinnova Business School","1299.0","Master","Online","845h","Sin Datos",958912561,"El personal de las unidades de enfermeria y de cuidado intensivo deben disponer no solamente de profesionales  en todas las disciplinas y niveles de formacion  sino tambien de personal de enfermeria preparado para garantizar el cuidado y atencion del paciente durante su permanencia en la unidad de forma responsable y habilidosa  aplicando los protocolos  guias y procedimientos especificos   Emagister com y Euroinnova Business School  pone a tu disposicion este increible master a distancia    Con 6 partes con sus modulos y unidades formativas  el temario se sustenta en contenidos sobre  legislacion basica  anatomia  fisiologia y patologia  documentacion del paciente  higiene y alimentacion  tecnicas basicas de enfermeria  cuidados intensivos  dialisis  exploraciones medicas  cuidados especiales  administracion de farmacos  primeros auxilios  neonatos  soportes vitales  diagnosticos  gestion de residuos sanitarios entre otros    Inscribete en Emagister com y haz parte de este selecto grupo de postulantes ya inscritos","[]","https://www.emagister.com/assets/es/logos/centro/id/56241/size/l.jpg","['l.jpg']","https://www.emagister.com/master-especializacion-unidades-enfermeria-titulacion-universitaria-cursos-3533256.htm",
"Máster en enfermería forense y criminal","ESCUELA DE POSTGRADO DE MEDICINA Y SANIDAD","1550.0","Master","Online","1500h","Sí",916358395,"Documentos","['MÓDULO 1. FUNDAMENTOS DE ENFERMERÍA', 'UNIDAD FORMATIVA 1. LEGISLACIÓN BÁSICA', 'UNIDAD FORMATIVA 2. ANATOMÍA, FISIOLOGÍA Y PATOLOGÍA DE LOS PRINCIPALES SISTEMAS ORGÁNICOS', 'UNIDAD FORMATIVA 3. DOCUMENTACIÓN DEL PACIENTE Y TERMINOLOGÍA CLÍNICA BÁSICA', 'UNIDAD FORMATIVA 4. UNIDAD DEL PACIENTE, HIGIENE Y ALIMENTACIÓN DEL ENFERMO', 'UNIDAD FORMATIVA 5. TÉCNICAS BÁSICAS DE ENFERMERÍA', 'UNIDAD FORMATIVA 6. CUIDADOS ESPECIALES DE ENFERMERÍA', 'UNIDAD FORMATIVA 7. SOPORTE VITAL Y PRIMEROS AUXILIOS', 'MÓDULO 2. ENFERMERÍA FORENSE Y CRIMINOLOGÍA', 'UNIDAD FORMATIVA 1. CRIMINOLOGÍA', 'UNIDAD FORMATIVA 2. ENFERMERÍA FORENSE']","https://www.emagister.com/assets/es/logos/centro/id/1118342/size/l.jpg","['l.jpg']","https://www.emagister.com/master-enfermeria-forense-criminal-cursos-3544726.htm",
"Diploma de especialización en atención de enfermería en urgencias vitales y paciente crítico","UNIVERSIDAD SAN JORGE Online","Precio a consultar","Diploma de Especialización","Online","750h","Sin Datos",876871851,"Plantea tus dudas y otros usuarios podran responderte","['Intervención de enfermería en la urgencia y emergencia ', 'Enfermería en el soporte vital avanzado  ', 'Atención al Síndrome coronario agudo', 'Atención de enfermería en otras situaciones de urgencia ', 'Cuidados de enfermería en el paciente crítico ', 'Procedimiento de enfermería en el paciente crítico ']","https://www.emagister.com/assets/es/logos/centro/id/193808/size/l.jpg","['l.jpg']","https://www.emagister.com/diploma-especializacion-atencion-enfermeria-urgencias-vitales-paciente-critico-cursos-3339122.htm",
"Máster en dermatología en enfermería","ESCUELA INTERNACIONAL DE FARMACIA PASTEUR","480.0","Master","Online","600h","Sin Datos",973975855,"Plantea tus dudas y otros usuarios podran responderte","['UNIDAD DIDÁCTICA 1. INTRODUCCIÓN A LA DERMATOLOGÍA', 'UNIDAD DIDÁCTICA 2. PATOLOGÍAS DERMATOLÓGICAS COMUNES', 'UNIDAD DIDÁCTICA 3. LAS INFLAMACIONES DE LA PIEL', 'UNIDAD DIDÁCTICA 4. CRECIMIENTOS BENIGNOS DE LA PIEL Y', 'DESÓRDENES DE LA PIGMENTACIÓN Y LA COLORACIÓN.', 'UNIDAD DIDÁCTICA 5. LAS INFECCIONES DE LA PIEL', 'UNIDAD DIDÁCTICA 6. PROBLEMAS DEL CABELLO Y LAS UÑAS', 'UNIDAD DIDÁCTICA 7. TRATAMIENTOS DERMATOLÓGICOS COMUNES']","https://www.emagister.com/assets/es/logos/centro/id/1140014/size/l.jpg","['l.jpg']","https://www.emagister.com/master-dermatologia-enfermeria-cursos-3605273.htm",
"Experto Universitario en Técnicas de Enfermería en Atención al Paciente Urgente","Editorial Médica Panamericana","1150.0","Experto universitario","Online","Sin Datos","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/94945/size/l.jpg","['l.jpg']","https://www.emagister.com/experto-universitario-tecnicas-enfermeria-atencion-al-paciente-urgente-cursos-3498218.htm",
"Máster de formación permanente en enfermería quirúrgica","ENALDE BUSINESS SCHOOL","1970.0","Master","Online","12 Meses","Sin Datos",958050217,"Plantea tus dudas y otros usuarios podran responderte","['TEMARIO:MÓDULO 1. ASPECTOS GENERALES DEL BLOQUE QUIRÚRGICO PARA ENFERMERÍA', 'MÓDULO 2. ENFERMERÍA QUIRÚRGICA', 'MÓDULO 3. ANALGESIA Y SEDACIÓN ', 'MÓDULO 4. ANESTESIA Y REANIMACIÓN', 'MÓDULO 5. CIRUGÍA MENOR AMBULATORIA', 'MÓDULO 6. PROCEDIMIENTOS QUIRÚRGICOS URGENTES EN PEDIATRÍA', 'MÓDULO 7. PRL EN QUIRÓFANO', 'MÓDULO 8. PROYECTO FIN DE MÁSTER']","https://www.emagister.com/assets/es/logos/centro/id/1168609/size/l.jpg","['l.jpg']","https://www.emagister.com/master-formacion-permanente-enfermeria-quirurgica-cursos-3735564.htm",
"AUXILIAR DE ENFERMERIA - ONLINE","DNSalud","350.0","Postgrado","Online","Flexible","Sí","Sin Datos","Siempre has querido ser auxiliar de enfermeria   Te gustaria trabajar en este sector  Emagister compone a tu disposicion este postgrado de Auxiliar de Enfermeria  Actualmente  la figura de auxiliar de enfermeria esta presente en todos los centros medicos y simboliza un sector conocedor de vital importancia  Por ello es una gran oportunidad de insertarse en este sector y conocer todas las ventajas que posee    El objetivo de este curso es dar a los alumnos as las herramientas necesarias para dedicarse al sector de la enfermeria en la categoria de auxiliar  La metodologia de este curso te otorga la libertad de estudiar desde cualquier lugar y a cualquier hora  para que te sientas comodo a y no tengas obligaciones que afecten a tu dia a dia    Con este curso tienes una buena ocasion para enriquecer tu perfil profesional y abrir nuevas expectativas laborales  Si necesitas mas informacion  pidela aqui  en emagister com","['Los puntos principales del curso son']","https://www.emagister.com/assets/es/logos/centro/id/1139924/size/l.jpg","['l.jpg']","https://www.emagister.com/auxiliar-enfermeria-online-cursos-3469810.htm",
"Master Experto En Enfermería + Master En Primeros Auxilios","EDUCA BUSINESS SCHOOL","1200.0","Master","Online","1200h","Sin Datos",911227348,"Plantea tus dudas y otros usuarios podran responderte","['PARTE 1. ENFERMERÍA EN URGENCIAS Y EMERGENCIAS', 'PARTE 2. URGENCIAS, EMERGENCIAS Y CATÁSTROFES', 'MÓDULO 1. URGENCIAS, EMERGENCIAS Y CATÁSTROFES', 'MÓDULO 2. PRÁCTICA. SOPORTE VITAL BÁSICO Y AVANZADO: REANIMACIÓN CARDIOPULMONAR (RCP) + DESFIBRILADOR SEMIAUTOMÁTICO (DESA)', 'PARTE 3. CUIDADOS DE ENFERMERÍA EN LA UNIDAD DE CUIDADOS INTENSIVOS (UCI)', 'PARTE 4. CUIDADOS CRÍTICOS', 'MÓDULO 1. GENERALIDADES EN LA UNIDAD DE CUIDADOS CRÍTICOS', 'MÓDULO 2. REANIMACIÓN CARDIOPULMONAR', 'MÓDULO 3. CUIDADOS TERAPÉUTICOS DEL PACIENTE CRÍTICO', 'MÓDULO 4. PATOLOGÍAS ASOCIADAS AL PACIENTE CRÍTICO. CUIDADOS DE ENFERMERÍA', 'PARTE 5. TÉCNICAS DE SOPORTE VITAL BÁSICO Y DE APOYO AL SOPORTE VITAL AVANZADO', 'MÓDULO 1. SOPORTE VITAL BÁSICO', 'MÓDULO 2. APOYO AL SOPORTE VITAL AVANZADO', 'MÓDULO 3. PARTE PRÁCTICA. SOPORTE VITAL BÁSICO Y AVANZADO: REANIMACIÓN CARDIOPULMONAR (RCP) + DESFIBRILADOR SEMIAUTOMÁTICO (DESA)', 'PARTE 1. PRIMEROS AUXILIOS', 'PARTE 2. APOYO AL SOPORTE VITAL AVANZADO', 'PARTE 3. EMERGENCIAS SANITARIAS Y DISPOSITIVOS DE RIESGO PREVISIBLE', 'PARTE 4. TÉCNICAS DE APOYO PSICOLÓGICO Y SOCIAL EN SITUACIONES DE CRISIS', 'PARTE 5. TRASLADO DEL PACIENTE AL CENTRO SANITARIO']","https://www.emagister.com/assets/es/logos/centro/id/160194/size/l.jpg","['l.jpg']","https://www.emagister.com/master-experto-enfermeria-master-primeros-auxilios-cursos-3655329.htm",
"Cuidados Enfermeros en Quirófano - ONLINE","DNSalud","350.0","Diploma de Especialización","Online","100h","Sí","Sin Datos","Plantea tus dudas y otros usuarios podran responderte","['UD1. El Servicio de Quirófano.', 'UD2. Funciones de Enfermería en Quirófano.', 'UD3. Técnicas Estériles.', 'UD4. Preparación Quirúrgica del Paciente: Cuidados Preoperatorios y Diagnósticos de Enfermería.', 'UD5. Traslado y Colocación del Paciente en el Quirófano.', 'UD6. Organización del Quirófano para la Intervención.', 'UD7. La Anestesia y la Medicación.', 'UD8. Procedimientos Quirúrgicos según Sistemas.', 'UD9. Suturas y Material Quirúrgico.', 'UD10. Unidad de Recuperación Postoperatoria. Cuidados y Diagnósticos de Enfermería.', 'UD11. Limpieza y Desinfección del Instrumental Quirúrgico.', 'UD12. Prevención de Riesgos Laborales en el Quirófano.']","https://www.emagister.com/assets/es/logos/centro/id/1139924/size/l.jpg","['l.jpg']","https://www.emagister.com/cuidados-enfermeros-quirofano-online-cursos-3554182.htm",
"Grand máster en enfermería de quirófano","CLAUSTRO GÓMEZ INTERNATIONAL POSTGRADUATE AND BUSINESS SCHOOL","500.0","Master","Online","Sin Datos","Sin Datos","Sin Datos","Documentos","[]","https://www.emagister.com/assets/es/logos/centro/id/192507/size/l.jpg","['l.jpg']","https://www.emagister.com/grand-master-enfermeria-quirofano-cursos-3656894.htm",
"Diplomado en administración hospitalaria","CLAUSTRO GÓMEZ INTERNATIONAL POSTGRADUATE AND BUSINESS SCHOOL","150.0","Diploma de Especialización","Online","Sin Datos","Sin Datos","Sin Datos","El objetivo fundamental del Diplomado en Administracion Hospitalaria es formar estudiantes que puedan formular estrategias para conseguir una mejor relacion  calidad  precios y esfuerzos para lograr eficacias  efectividades y eficiencias en los servicios hospitalarios","[]","https://www.emagister.com/assets/es/logos/centro/id/192507/size/l.jpg","['l.jpg']","https://www.emagister.com/diplomado-administracion-hospitalaria-cursos-3624537.htm",
"Técnico auxiliar de farmacia + Técnico auxiliar de óptica .","ESNECA BUSINESS SCHOOL","380.0","Postgrado","Online","300h","Sin Datos",973975855,"Documentos","['PARTE 1. AUXILIAR DE FARMACIA', 'SOLUCIONARIO', 'BIBLIOGRAFÍA', 'PARTE 2. AUXILIAR DE ÓPTICA', 'SOLUCIONARIO', 'BIBLIOGRAFÍA']","https://www.emagister.com/assets/es/logos/centro/id/123469/size/l.jpg","['l.jpg']","https://www.emagister.com/tecnico-auxiliar-farmacia-tecnico-auxiliar-optica-cursos-3327954.htm",
